Date&Time,shortDate
2016-02-11T21:04:00Z,2016-02-11
2016-02-05T18:39:00Z,2016-02-05
2016-02-05T15:57:00Z,2016-02-05
2016-02-05T15:51:00Z,2016-02-05
2016-02-05T15:50:00Z,2016-02-05
2016-01-25T11:23:00Z,2016-01-25
2016-01-21T21:38:00Z,2016-01-21
2016-01-16T15:48:00Z,2016-01-16
2016-01-16T15:02:00Z,2016-01-16
2016-01-15T12:41:00Z,2016-01-15
2015-11-03T20:31:00Z,2015-11-03
2015-10-17T12:18:00Z,2015-10-17
2015-10-17T12:16:00Z,2015-10-17
2015-10-12T15:36:00Z,2015-10-12
2015-10-12T15:36:00Z,2015-10-12
2015-09-25T23:17:00Z,2015-09-25
2015-09-19T07:05:00Z,2015-09-19
2015-09-13T16:15:00Z,2015-09-13
2015-08-30T08:34:00Z,2015-08-30
2015-08-20T13:03:00Z,2015-08-20
2015-08-20T13:01:00Z,2015-08-20
2015-08-20T13:01:00Z,2015-08-20
2015-08-20T12:36:00Z,2015-08-20
2015-08-20T11:02:00Z,2015-08-20
2015-08-20T10:58:00Z,2015-08-20
2015-08-20T10:36:00Z,2015-08-20
2015-08-20T10:31:00Z,2015-08-20
2015-08-20T10:30:00Z,2015-08-20
2015-08-20T10:23:00Z,2015-08-20
2015-08-20T10:22:00Z,2015-08-20
2015-08-20T10:18:00Z,2015-08-20
2015-07-27T18:44:00Z,2015-07-27
2015-07-27T15:13:00Z,2015-07-27
2015-07-14T13:25:00Z,2015-07-14
2015-07-08T21:10:00Z,2015-07-08
2015-07-08T20:46:00Z,2015-07-08
2015-07-08T20:37:00Z,2015-07-08
2015-07-08T19:22:00Z,2015-07-08
2015-07-08T19:21:00Z,2015-07-08
2015-07-08T19:13:00Z,2015-07-08
2015-06-09T07:24:00Z,2015-06-09
2015-06-09T07:01:00Z,2015-06-09
2015-04-24T10:55:00Z,2015-04-24
2015-04-24T10:54:00Z,2015-04-24
2015-04-10T10:11:00Z,2015-04-10
2015-04-10T10:11:00Z,2015-04-10
2015-04-07T14:41:00Z,2015-04-07
2015-04-07T14:41:00Z,2015-04-07
2015-03-19T15:44:00Z,2015-03-19
2015-03-19T15:42:00Z,2015-03-19
2015-03-11T20:52:00Z,2015-03-11
2015-02-21T16:58:00Z,2015-02-21
2015-01-24T16:07:00Z,2015-01-24
2015-01-24T15:50:00Z,2015-01-24
2015-01-24T15:48:00Z,2015-01-24
2015-01-24T15:47:00Z,2015-01-24
2015-01-24T15:47:00Z,2015-01-24
2014-12-23T18:30:00Z,2014-12-23
2014-12-11T18:41:00Z,2014-12-11
2014-12-11T18:32:00Z,2014-12-11
2014-12-11T18:31:00Z,2014-12-11
2014-10-31T03:17:00Z,2014-10-31
2014-10-30T18:35:00Z,2014-10-30
2014-10-16T13:10:00Z,2014-10-16
2014-09-26T10:11:00Z,2014-09-26
2014-09-26T10:08:00Z,2014-09-26
2014-09-09T09:36:00Z,2014-09-09
2014-09-08T13:32:00Z,2014-09-08
2014-09-08T13:30:00Z,2014-09-08
2014-09-05T10:55:00Z,2014-09-05
2014-09-05T09:19:00Z,2014-09-05
2014-08-17T16:28:00Z,2014-08-17
2014-07-25T09:28:00Z,2014-07-25
2014-06-28T11:08:00Z,2014-06-28
2014-06-14T18:15:00Z,2014-06-14
2014-05-29T22:54:00Z,2014-05-29
2014-05-27T13:57:00Z,2014-05-27
2014-05-27T13:57:00Z,2014-05-27
2014-05-26T11:08:00Z,2014-05-26
2014-05-21T18:00:00Z,2014-05-21
2014-05-19T14:32:00Z,2014-05-19
2014-05-13T22:41:00Z,2014-05-13
2014-05-13T22:41:00Z,2014-05-13
2014-05-05T17:28:00Z,2014-05-05
2014-05-04T14:47:00Z,2014-05-04
